49245,0
65681,0
78073,0
7072,1
45475,1
29380,1
26151,1
42940,0
61929,1
28911,1
411588,0
10633,1
62175,0
272550,1
132923,1
23951,1
216765,0
20959,1
58635,1
468495,0
1990,1
65743,1
142637,0
19360,1
455134,0
39704,0
54904,1
9596,0
255699,1
253773,1
47087,1
101710,0
9781,0
29446,1
200905,1
58605,1
52209,0
111969,0
52537,0
33028,0
3020,0
38404,0
176358,1
86487,0
44221,1
204029,1
5286,1
97530,0
4804,1
80854,0
6365,1
26000,0
271615,1
72963,1
32885,0
59309,0
219077,0
55452,0
55008,0
45519,1
10242,0
95836,0
83381,0
51658,1
46205,0
74978,0
42152,1
65612,0
19704,0
71671,0
83294,0
83984,1
58674,1
26027,1
32569,1
66989,0
18715,0
223601,1
32656,0
32520,1
41220,1
56653,1
19446,1
231640,0
29318,1
232704,0
22984,1
18399,1
61358,1
54352,0
96633,0
68557,1
66853,1
20601,1
422169,0
83615,1
126330,0
87889,1
54761,0
278669,1
67743,1
23057,0
20284,0
83013,0
40952,1
192569,1
93663,0
41696,1
85147,0
66397,1
26452,0
74827,0
40756,1
42450,1
242892,0
73354,1
25038,1
34452,1
81982,1
116452,0
2743,1
61462,0
37736,0
2952,1
23122,1
59610,0
37171,1
7047,1
61729,1
279893,1
14734,1
44803,0
23932,0
90306,0
100564,0
119421,0
46673,1
81095,1
155119,1
69478,0
33166,1
71290,1
46023,1
154011,1
82049,1
28180,1
336599,0
132967,1
53043,1
109390,0
116215,0
38416,0
47942,0
54539,0
18244,1
210706,0
39683,1
377359,0
29984,1
140101,0
86669,1
371,1
55518,0
13588,1
15799,1
23236,1
39839,0
4935,1
200532,0
35960,1
16513,1
64887,0
87482,0
57435,0
88322,0
2328,0
27386,1
49007,0
75343,1
92466,0
429742,0
27978,1
33971,1
72408,1
91420,0
3322,0
56537,1
55911,1
67649,0
48179,0
229511,1
29537,0
13896,1
236790,1
46271,0
56325,1
26159,0
466326,0
23635,1
65683,0
42293,0
28649,1
219087,1
55903,1
119314,0
79535,1
77052,1
124985,0
82785,0
26187,0
72608,0
7640,1
30054,1
78401,1
143457,0
20950,1
62752,0
84677,0
44073,0
85347,0
52962,0
76427,1
36715,1
126426,0
10692,0
301635,0
7616,1
193956,1
77961,1
58028,1
208848,1
92877,0
8513,0
24680,1
32869,1
690,0
83326,1
25278,1
26636,1
17500,0
16463,0
22325,1
29150,1
444589,0
58768,1
48003,0
100215,0
32109,0
27244,0
78822,1
14592,0
69664,1
343197,0
6751,1
165541,1
74357,0
55740,1
30958,1
27930,1
61482,0
89118,0
15258,1
185802,1
41475,1
27211,0
277662,1
82331,1
411211,0
13778,0
9346,0
3484,0
95689,0
10484,1
68257,0
16590,0
18746,1
80710,1
64511,1
1802,1
79555,1
6610,0
3767,1
74692,0
25650,1
115911,0
304674,0
52131,1
44778,1
79572,1
147119,0
54879,0
31379,0
79757,0
83257,0
8897,0
25400,1
37998,0
87303,0
86463,0
